date,SPX,FTSE,DAX,N225,HSI,CAC
2005-07-28,0.0056031593,0.0012728374,0.0076513334,0.0019627659,0.0007742244,0.0065709518
2005-07-29,-0.0076704702,0.0022769103,-0.0012263669,0.0034819498,0.0045675213,-0.0023574448
2005-08-01,0.0009479345,0.0016280972,0.0008902277,0.0039766306,0.0065788282,0.0011523320
2005-08-02,0.0070992186,0.0069175562,0.0085915574,-0.0005624652,0.0105615504,0.0104243471
2005-08-03,0.0007395138,0.0009009488,-0.0019765369,0.0034839960,-0.0012274546,-0.0017431762
2005-08-04,-0.0073733000,-0.0031505739,-0.0099652370,-0.0082199866,-0.0004603605,-0.0081214388
2005-08-05,-0.0076383583,-0.0001317271,-0.0096182407,-0.0098313606,-0.0039850158,-0.0083584365
2005-08-08,-0.0026826364,0.0055505383,0.0022124071,0.0010623398,0.0038282434,0.0043670013
2005-08-09,0.0067449903,0.0036301090,0.0148040909,0.0103013876,-0.0040440020,0.0114118587
2005-08-10,-0.0018272182,0.0025728143,0.0165169924,0.0166180204,0.0198414068,0.0078856560
2005-08-11,0.0070619492,-0.0035146262,-0.0073417765,0.0136583849,0.0064373386,-0.0039782038
2005-08-12,-0.0059944932,-0.0023887382,-0.0033508946,-0.0001337831,0.0003722839,-0.0072342854
2005-08-15,0.0028283556,-0.0002992273,-0.0030361013,-0.0004183671,0.0009778929,-0.0022115373
2005-08-16,-0.0117759807,-0.0040792433,-0.0078275345,0.0048235530,-0.0014508837,-0.0049277643
2005-08-17,0.0007381243,-0.0055801344,-0.0025287834,-0.0034549322,0.0003859173,-0.0011114555
2005-08-18,-0.0009997793,-0.0044212575,-0.0041445360,0.0027906514,-0.0195144614,-0.0021533459
2005-08-19,0.0005659804,0.0082174662,0.0162102164,-0.0012707547,-0.0072272804,0.0130539880
2005-08-22,0.0016561474,0.0010917074,0.0023894523,0.0130802817,0.0119704898,-0.0004367212
2005-08-23,-0.0033886495,-0.0034220268,-0.0048464609,0.0016398238,-0.0160816208,-0.0110077004
2005-08-24,-0.0065703564,-0.0047168030,-0.0003639963,0.0023514987,-0.0066809654,-0.0027340738
2005-08-25,0.0022983237,-0.0036965422,-0.0121930506,-0.0077665647,0.0010252894,-0.0103788303
2005-08-26,-0.0059965353,-0.0052514597,-0.0148702256,0.0027666158,0.0062992418,-0.0081784836
2005-08-30,0.0027467087,0.0052982358,0.0016556734,0.0010980507,-0.0040492804,0.0032145809
2005-08-31,0.0098641368,0.0078199511,0.0079240283,-0.0031751061,-0.0012511491,0.0098010186
2005-09-01,0.0010325156,0.0059657721,0.0027434473,0.0075215989,0.0161169787,0.0056349196
2005-09-02,-0.0029223769,-0.0003002904,-0.0010592497,0.0074382745,0.0051598612,-0.0043397506
2005-09-06,0.0126188362,0.0060636193,0.0269687576,-0.0000452629,-0.0040145722,0.0153462823
2005-09-07,0.0024079737,0.0012501319,0.0039974302,0.0006476608,0.0042075697,0.0030497451
2005-09-08,-0.0037933462,-0.0046777052,0.0009241647,-0.0058457006,-0.0038359303,-0.0045138526
2005-09-09,0.0079647439,0.0034639007,0.0026398630,0.0126178222,-0.0000264002,0.0057636768
2005-09-12,-0.0007409881,0.0029482010,-0.0031862600,0.0161037664,0.0022432431,0.0000310905
2005-09-13,-0.0075450659,-0.0069022152,-0.0176554010,0.0004280648,-0.0085021220,-0.0085510260
2005-09-14,-0.0032812842,0.0017609409,0.0018951992,-0.0052472839,0.0010656901,0.0038217947
2005-09-15,0.0004644433,0.0067509628,-0.0010567627,0.0118846270,-0.0030225846,0.0020042727
2005-09-16,0.0082917693,0.0045323493,0.0164126270,-0.0021637839,-0.0038441102,0.0067196866
2005-09-20,-0.0133855191,0.0015717747,-0.0047408276,0.0146535472,0.0172633451,0.0049472488
2005-09-21,-0.0091211415,-0.0086219090,-0.0176591020,0.0036505870,-0.0011967197,-0.0140649960
2005-09-22,0.0036523253,0.0029796822,-0.0053762595,-0.0028196691,-0.0028685636,-0.0044561076
2005-09-26,0.0008315438,0.0125146035,0.0307589380,0.0177265099,0.0062160530,0.0267009930
2005-09-27,0.0000247027,-0.0010636689,-0.0064584312,-0.0061668130,-0.0055275616,-0.0044056208
2005-09-28,0.0010117800,0.0087199166,0.0166859355,0.0094567798,0.0020790209,0.0116191784
2005-09-29,0.0088668975,-0.0030209671,-0.0054608301,0.0134959282,0.0137825176,-0.0045155850
2005-09-30,0.0009204392,-0.0000912709,0.0045706868,-0.0031533871,-0.0001769441,0.0046212719
2005-10-03,-0.0017171958,0.0043631271,0.0075235534,-0.0036112015,-0.0022121295,0.0048956351
2005-10-04,-0.0099698223,-0.0013087457,0.0110093323,0.0157896595,-0.0007911770,0.0059924187
2005-10-05,-0.0148871166,-0.0121214507,-0.0133514656,-0.0035629060,-0.0143789279,-0.0120704239
2005-10-06,-0.0040956748,-0.0102066960,-0.0102871538,-0.0241331297,-0.0212208843,-0.0124528935
2005-10-07,0.0037012767,-0.0018799974,-0.0018934600,-0.0098633508,0.0005721452,-0.0017875341
2005-10-12,-0.0152353628,-0.0037483188,-0.0051919317,0.0178412938,-0.0183711183,-0.0030339747
2005-10-13,-0.0007133414,-0.0144135370,-0.0063632394,-0.0010769667,0.0032116970,-0.0099489316
2005-10-14,0.0082678875,0.0018612407,0.0051494697,-0.0021339641,-0.0092977551,0.0026844858
2005-10-17,0.0029749863,0.0021800948,0.0006572164,-0.0015088812,0.0038292273,0.0015796236
2005-10-18,-0.0100495430,-0.0042750587,-0.0063568955,-0.0035857287,0.0038545790,-0.0062527314
2005-10-19,0.0149557734,-0.0182374289,-0.0204561370,-0.0166825938,-0.0153890843,-0.0192888567
2005-10-20,-0.0150197036,-0.0007352706,0.0037701393,0.0046437238,0.0025173081,0.0035588555
2005-10-21,0.0015197121,-0.0042601808,-0.0053143029,0.0007194771,0.0054764040,-0.0054980654
2005-10-24,0.0167770493,0.0127379862,0.0131014670,-0.0071038532,-0.0059014969,0.0126989445
2005-10-25,-0.0023678616,-0.0048966894,-0.0058794489,0.0133097847,0.0015643471,-0.0056490612
2005-10-26,-0.0043124626,0.0088187619,0.0057090076,0.0086140115,0.0023057222,0.0035728897
2005-10-27,-0.0104752308,-0.0086078277,-0.0193316248,0.0016469216,-0.0053312584,-0.0172887429
2005-10-28,0.0165493336,0.0059041635,0.0040761817,-0.0052574807,-0.0114893824,-0.0022369183
2005-10-31,0.0071761545,0.0199293943,0.0214333611,0.0194777043,0.0119964883,0.0253634367
2005-11-01,-0.0035210976,0.0050777652,-0.0013227688,0.0192084924,0.0129212336,-0.0003832333
2005-11-02,0.0099770527,0.0026758029,0.0065576327,0.0019411734,0.0017307338,-0.0011500305
2005-11-04,0.0044288624,0.0121300337,0.0081557098,0.0130394064,-0.0008008526,0.0155882055
2005-11-07,0.0021883095,0.0068588588,0.0057975111,-0.0010202041,-0.0150831734,0.0011002527
2005-11-08,-0.0034511433,0.0000183302,-0.0030592167,-0.0017685855,0.0026041141,-0.0000066136
2005-11-09,0.0016905265,-0.0038638499,0.0005090619,0.0025269223,0.0134935019,-0.0051936300
2005-11-10,0.0084462674,-0.0029963979,0.0008320906,0.0006167968,0.0024511150,-0.0001629337
